listing_id,vin,make,model,year,trim,body_type,fuel_type,transmission,mileage,price,condition,location,seller_type,features
11,JYRFUPMR4HUP00231,Toyota,Camry,2023,Premium,Crossover,Petrol,Automatic,25103,22387.0,excellent,"Port Julie, BC, Canada",Dealer,"Adaptive Cruise Control, Apple CarPlay, Navigation, Parking Sensors, Sunroof, Wireless Charging"
12,AWBUN0Z246KKV4896,Skoda,Octavia,2014,LTZ,Crossover,Petrol,Automatic,235126,1738.0,fair,"Bidar, RJ, India",Certified Pre-Owned,"Alloy Wheels, Backup Camera, Keyless Entry, Push Button Start"
13,DSGFTHBCXS23J0122,Chevrolet,Malibu,2024,Touring,Convertible,Petrol,Manual,8796,41256.0,new,"New Kevinfort, SA, Australia",Dealer,"Heated Seats, Lane Keep Assist, Leather Seats, Push Button Start"
14,MCG3JKC95ALZH7129,Kia,Sorento,2023,XSE,Van,Petrol,Automatic,20300,22175.0,excellent,"Martinburgh, IL, US",Private Party,"Adaptive Cruise Control, Backup Camera, Heated Seats, Parking Sensors"
15,F3RCWPTB6TV0F6722,Tata,Nexon,2023,EX,MPV,Diesel,Automatic,31363,13669.0,excellent,"North Katherine, TAS, Australia",Dealer,"Adaptive Cruise Control, Alloy Wheels, Fog Lights, Heated Seats, Lane Keep Assist, Leather Seats, Panoramic Roof, Parking Sensors"
16,YM5ZXBVK81UZU9787,Audi,A6,2011,Platinum,Crossover,Petrol,Automatic,144829,1926.0,good,"South Matthew, NC, US",Private Party,"Alloy Wheels, Apple CarPlay, Bluetooth, Navigation, Wireless Charging"
17,VD6GB39J8MGPX4258,Kia,Sorento,2025,Limited,Hatchback,Diesel,AMT,0,23304.0,excellent,"Port Debramouth, TAS, Australia",Private Party,"Adaptive Cruise Control, Android Auto, Blind Spot Monitor, Fog Lights, LED Headlights, Panoramic Roof, Push Button Start, Sunroof"
18,TPPCW27T01MM63101,Chevrolet,Silverado,2020,XLE,MPV,Petrol,Automatic,76339,9226.0,good,"Vincent, ARA, France",Private Party,"Android Auto, Backup Camera, Bluetooth, Fog Lights, Lane Keep Assist, Leather Seats, Navigation, Ventilated Seats, Wireless Charging"
19,YLMCZ9AY0MFFV5068,Tata,Altroz,2023,Platinum,Van,Petrol,AMT,26945,14684.0,excellent,"Solomonberg, ON, Canada",Private Party,"Android Auto, Keyless Entry, Leather Seats, Panoramic Roof, Push Button Start, Wireless Charging"
20,XRJ30MX0XXE6J4752,Honda,Accord,2016,Sport,Sedan,Petrol,Manual,69929,4716.0,excellent,"East London, KZN, South Africa",Dealer,"Android Auto, Apple CarPlay, Navigation, Sunroof, Wireless Charging"
21,V8K975Y045M2R3115,Ford,F-150,2021,XLE,Convertible,Petrol,DCT,65873,12625.0,fair,"Pretoria, NC, South Africa",Dealer,
22,58W86KS337HK76669,Maruti,Dzire,2016,Performance,Sedan,Petrol,Automatic,188669,1854.0,good,"Fischer, BFC, France",Private Party,"Android Auto, Fog Lights, Keyless Entry, Lane Keep Assist, Leather Seats, Panoramic Roof, Sunroof, Ventilated Seats"
23,0XF2MEP37TLW62065,Kia,Sonet,2018,XSE,SUV,Electric,Automatic,126531,8648.0,excellent,"Jülich, ST, Germany",Certified Pre-Owned,"Fog Lights, Heated Seats, Keyless Entry, LED Headlights, Leather Seats, Navigation, Parking Sensors, Sunroof, Ventilated Seats"
24,6U0YG9EV3J55D4799,Ford,Maverick,2015,Long Range,Crossover,Hybrid,Automatic,257067,2412.0,good,"Bruchsal, BY, Germany",Dealer,"Adaptive Cruise Control, Android Auto, Backup Camera, Push Button Start"
25,EGVYCE0W96WJ26777,Audi,A4,2020,Base,Pickup,Petrol,Manual,82274,18479.0,good,"South Christine, CA, US",Certified Pre-Owned,"Alloy Wheels, Backup Camera, Bluetooth, Sunroof, Wireless Charging"
26,3SZG4NUU6409B8796,BMW,3 Series,2016,LX,Crossover,Hybrid,Automatic,193574,5229.0,good,"Oranienburg, BB, Germany",Dealer,
27,K03CA2D779TX26467,Audi,Q3,2021,L,Convertible,Petrol,CVT,48012,28849.0,excellent,"New Justin, WA, Australia",Certified Pre-Owned,"Adaptive Cruise Control, Panoramic Roof, Parking Sensors, Push Button Start"
28,K6UR90ZXXYCXG4881,Skoda,Octavia,2022,Titanium,MPV,Plug-in Hybrid,Automatic,34276,13596.0,fair,"Lake Timothy, BC, Canada",Private Party,"Adaptive Cruise Control, Android Auto, Fog Lights, Heated Seats, Lane Keep Assist, Leather Seats, Panoramic Roof, Sunroof, Wireless Charging"
29,0HLRTRZR0WDUB5331,Toyota,Highlander,2018,,MPV,Electric,Automatic,81836,6755.0,excellent,"Port Carol, ENG, UK",Dealer,"Alloy Wheels, Bluetooth, Heated Seats, Panoramic Roof"
30,9X70K1XS40YEH2242,BMW,5 Series,2017,Long Range,MPV,Petrol,CVT,196909,5035.0,good,"Gifhorn, RP, Germany",Dealer,"Bluetooth, Fog Lights, Lane Keep Assist, Push Button Start, Sunroof"
31,C0W5S1BN0TKVA6871,Mercedes-Benz,GLA,2018,Base,Van,Plug-in Hybrid,Manual,41899,14723.0,excellent,"Piercemouth, NJ, US",Certified Pre-Owned,"Android Auto, Apple CarPlay, Backup Camera, Fog Lights, Keyless Entry, LED Headlights, Push Button Start"
32,M5UHPSH4XZ7617142,Chevrolet,Equinox,2021,,Van,Petrol,Automatic,63040,11593.0,excellent,"Johnmouth, QC, Canada",Dealer,"Alloy Wheels, Apple CarPlay, Backup Camera, Heated Seats, Lane Keep Assist, Leather Seats, Navigation, Parking Sensors, Ventilated Seats"
33,E8RR5L5T5XXB37471,Tesla,Model 3,2011,XSE,MPV,Plug-in Hybrid,Automatic,226514,1793.0,good,"Hamon, PACA, France",Certified Pre-Owned,"Adaptive Cruise Control, Alloy Wheels, Backup Camera, Blind Spot Monitor, Heated Seats, Keyless Entry, Parking Sensors, Sunroof, Ventilated Seats"
34,UJMGNVGG45YGP7458,Volkswagen,Taigun,2017,LT,Pickup,Electric,Automatic,44122,10902.0,excellent,"Bloemfontein, NC, South Africa",Dealer,"Alloy Wheels, Apple CarPlay, Backup Camera, Leather Seats, Push Button Start"
35,HCWPM8GZ4PP102858,Tesla,Model Y,2022,Titanium,Hatchback,Hybrid,Manual,44429,16352.0,,"Durban, FS, South Africa",Private Party,
36,BDAGUA4T7TDXT3862,Skoda,Octavia,2020,LTZ,Pickup,Petrol,CVT,134201,11509.0,good,"Sigmaringen, SH, Germany",Dealer,"Adaptive Cruise Control, Apple CarPlay, Bluetooth, Fog Lights, Wireless Charging"
37,XHTC2N01X0HBS1345,Nissan,Magnite,2012,Performance,Convertible,Electric,AMT,236029,2346.0,like new,"Viersen, HE, Germany",Dealer,"Adaptive Cruise Control, Alloy Wheels, Blind Spot Monitor, Bluetooth, Leather Seats, Panoramic Roof, Sunroof, Ventilated Seats, Wireless Charging"
38,Y495ZJR615TGJ4805,Ford,F-150,2022,LT,Convertible,Petrol,Manual,56167,22100.0,excellent,"Bhilai, WB, India",Dealer,"Apple CarPlay, Blind Spot Monitor, Heated Seats, LED Headlights, Lane Keep Assist, Push Button Start, Ventilated Seats, Wireless Charging"
39,YNEYJ10X9E0CM2081,Chevrolet,Equinox,2022,Trend,Van,Petrol,Automatic,32353,12587.0,fair,"Williamstown, NT, Australia",Dealer,"Blind Spot Monitor, Bluetooth, Heated Seats, Leather Seats, Navigation, Push Button Start, Ventilated Seats"
40,8K8V70WJ2CX878111,Mercedes-Benz,GLA,2012,XSE,Hatchback,Petrol,Manual,339356,1664.0,excellent,"Neustadtner Waldnaab, NI, Germany",Dealer,"Backup Camera, Keyless Entry, Panoramic Roof, Sunroof, Ventilated Seats, Wireless Charging"
41,M7509LMV7XWH50279,Mahindra,Bolero,2013,,SUV,Petrol,CVT,197432,1234.0,fair,"Bailly, HDF, France",Private Party,"Android Auto, Apple CarPlay, Bluetooth, Fog Lights, Heated Seats, Keyless Entry, Navigation, Sunroof, Ventilated Seats"
42,6HZH6KFE6ENB04453,Hyundai,Creta,2015,XSE,MPV,Petrol,Manual,193706,2342.0,good,"Sainte AlfredVille, NAQ, France",Private Party,"Adaptive Cruise Control, Android Auto, Heated Seats, Navigation, Sunroof, Ventilated Seats"
43,8NN6XSJ84K8AK6980,BMW,5 Series,2016,XLE,Hatchback,Petrol,Automatic,182471,3872.0,good,"Besson, HDF, France",Private Party,"Apple CarPlay, Backup Camera, Keyless Entry, LED Headlights, Navigation, Push Button Start"
44,81EC4TG430XFR8443,Mercedes-Benz,GLA,2006,,Crossover,Petrol,Automatic,246701,1253.0,salvage,"Matthewport, NC, US",Dealer,"Adaptive Cruise Control, Alloy Wheels, Heated Seats, Keyless Entry, Leather Seats, Push Button Start, Ventilated Seats, Wireless Charging"
45,X2XGN48M95TZM5689,Chevrolet,Trax,2025,Limited,Pickup,Plug-in Hybrid,Automatic,0,53315.0,excellent,"Deniseland, ACT, Australia",Dealer,"Alloy Wheels, Android Auto, Backup Camera, Blind Spot Monitor, Bluetooth, Keyless Entry, Sunroof"
46,JZN4YC097L3EE0497,Skoda,Kushaq,2011,Performance,Convertible,Petrol,DCT,172400,1864.0,excellent,"South Jonathanstad, IL, US",Dealer,
47,BHGDZ5ZX2EHJ65265,Toyota,Tacoma,2014,Long Range,Sedan,Petrol,Manual,163127,1991.0,excellent,"New Ellie, NIR, UK",Certified Pre-Owned,"Alloy Wheels, Android Auto, Blind Spot Monitor, Fog Lights, Keyless Entry, Lane Keep Assist, Sunroof"
48,1HN7RN5G25DFM0471,Mahindra,XUV700,2015,L,Hatchback,Petrol,Automatic,222586,1168.0,,"豊島区, Tokyo, Japan",Dealer,
49,EJUM00U5347BP3375,Chevrolet,Trax,2017,LX,Coupe,Diesel,Automatic,77722,7524.0,new,"Morganfurt, AZ, US",Private Party,"Backup Camera, Bluetooth, Fog Lights, Keyless Entry, Leather Seats, Navigation, Parking Sensors"
50,TNCKS65U1F2N47131,Tesla,Model Y,2017,Performance,Crossover,Petrol,Manual,121829,6683.0,excellent,"Câmara, PR, Brazil",Dealer,"Android Auto, Apple CarPlay, Blind Spot Monitor, Heated Seats, LED Headlights, Lane Keep Assist, Panoramic Roof, Push Button Start, Sunroof"
51,KKYBFSKJ82V7D4949,Ford,Explorer,2015,Trend,Van,Petrol,Automatic,237718,2324.0,good,"Etawah, PB, India",Private Party,"Backup Camera, Heated Seats, LED Headlights, Panoramic Roof, Ventilated Seats"
52,J9BHNBMK6LMAU7779,BMW,X5,2019,,Sedan,Diesel,Manual,93051,9810.0,excellent,"Lake Sabrina, MB, Canada",Dealer,"Alloy Wheels, Blind Spot Monitor, Fog Lights, LED Headlights, Navigation, Push Button Start"
53,NR5K8R9U9DNNA6500,Tata,Altroz,2021,Touring,Crossover,CNG,Manual,79671,9345.0,good,"Serampore, RJ, India",Dealer,"Android Auto, Apple CarPlay, Backup Camera, Blind Spot Monitor, Bluetooth, Push Button Start"
54,83FLSYTB6GEN85200,Chevrolet,Malibu,2023,Limited,Pickup,Petrol,Automatic,28313,30968.0,excellent,"安房郡鋸南町, Kyoto, Japan",Dealer,"Adaptive Cruise Control, Apple CarPlay, Backup Camera, Blind Spot Monitor, Bluetooth, Fog Lights, Leather Seats, Push Button Start, Wireless Charging"
55,574EWL140SNWA8078,Volkswagen,Taigun,2013,,Hatchback,Electric,CVT,149055,1322.0,like new,"Petersontown, NT, Australia",Dealer,
56,T1NANZA506X930009,Mahindra,XUV700,2013,SE,Pickup,Electric,Automatic,171623,2333.0,excellent,"江東区, Aichi, Japan",Private Party,"Adaptive Cruise Control, Backup Camera, Blind Spot Monitor, Bluetooth, Lane Keep Assist, Navigation, Parking Sensors, Push Button Start, Wireless Charging"
57,GEPB56FNX8WBB0213,Maruti,Dzire,2021,Limited,Hatchback,Diesel,Manual,59040,5531.0,good,"Johannesburg, GP, South Africa",Dealer,"Alloy Wheels, Fog Lights, LED Headlights, Navigation, Panoramic Roof"
58,EZ9H91Y3291VM0295,Mahindra,Bolero,2019,LT,Convertible,Plug-in Hybrid,CVT,76260,10935.0,excellent,"BlinBourg, BFC, France",Dealer,"Android Auto, Fog Lights, Heated Seats, LED Headlights, Lane Keep Assist, Navigation, Sunroof, Ventilated Seats"
59,T9HDVN6VXY1014629,Tata,Altroz,2016,L,Pickup,Petrol,DCT,229459,2663.0,good,"あきる野市, Kanagawa, Japan",Certified Pre-Owned,"Adaptive Cruise Control, Android Auto, Backup Camera, Bluetooth, Navigation, Parking Sensors"
60,CMCN3T5H9GK029388,Tesla,Model Y,2020,Limited,Sedan,Electric,Automatic,99326,16076.0,good,"Haldia, GJ, India",Private Party,"Alloy Wheels, Apple CarPlay, Fog Lights, Heated Seats, Leather Seats, Parking Sensors, Push Button Start, Wireless Charging"
61,VM7GZLP85YL9M8128,Chevrolet,Trax,2017,Base,Van,Petrol,Manual,140918,5767.0,like new,"Wolfratshausen, MV, Germany",Dealer,"Alloy Wheels, Apple CarPlay, Parking Sensors, Push Button Start"
62,YC374K9J2HS8A4771,Tata,Altroz,2019,XSE,MPV,Hybrid,Automatic,80039,5324.0,like new,"Cape Town, GP, South Africa",Dealer,"Alloy Wheels, Android Auto, Blind Spot Monitor, Fog Lights, Push Button Start, Sunroof, Ventilated Seats"
63,XC4TN2JK2HV9X2933,BMW,5 Series,2017,Touring,Coupe,Petrol,Manual,151797,8697.0,good,"Jehanabad, TG, India",Dealer,"Alloy Wheels, Heated Seats, Push Button Start, Sunroof"
64,K85A2Y7V2YWH02626,Skoda,Slavia,2007,Performance,Van,CNG,Automatic,362589,1222.0,excellent,"Blanchard-sur-Mer, IDF, France",Dealer,"Alloy Wheels, Keyless Entry, Lane Keep Assist, Leather Seats, Parking Sensors, Ventilated Seats"
65,ZYJN6WMN146XV7390,Ford,Escape,2025,LTZ,Sedan,Petrol,Manual,0,24471.0,good,"Bloemfontein, MP, South Africa",Dealer,"Android Auto, Apple CarPlay, Blind Spot Monitor, Bluetooth, Fog Lights, Keyless Entry, LED Headlights, Wireless Charging"
66,RNN1KMTP8YHUX7452,Hyundai,i20,2016,L,Crossover,Hybrid,Automatic,139008,4602.0,good,"Panihati, KL, India",Dealer,"Adaptive Cruise Control, Apple CarPlay, Fog Lights, Keyless Entry, Push Button Start, Ventilated Seats, Wireless Charging"
67,WT6XA3ZN1B8B62913,Mahindra,Bolero,2022,Touring,Pickup,CNG,Manual,57871,14161.0,good,"Martineau, GES, France",Certified Pre-Owned,"Alloy Wheels, Backup Camera, Blind Spot Monitor, Bluetooth, Keyless Entry, LED Headlights"
68,4MH997DB92JUH9268,Honda,CR-V,2021,LX,MPV,Petrol,Automatic,60999,9081.0,fair,"Port Jeffrey, TAS, Australia",Dealer,"Alloy Wheels, Apple CarPlay, Push Button Start, Ventilated Seats"
69,45TWR5XD252E45322,Honda,Accord,2017,,MPV,Petrol,CVT,106385,2147.0,salvage,"Kellyton, WLS, UK",Dealer,"LED Headlights, Leather Seats, Navigation, Panoramic Roof"
70,BWF8YVT24WAE31706,BMW,3 Series,2021,SE,Hatchback,Diesel,Manual,60730,13468.0,good,"Emmendingen, HB, Germany",Dealer,"Backup Camera, Bluetooth, Heated Seats, LED Headlights, Parking Sensors, Push Button Start"
71,4VRDLXRXX4V588319,Mahindra,Bolero,2013,,Convertible,Petrol,Manual,164331,1642.0,good,"Novais dos Dourados, MG, Brazil",Dealer,"Android Auto, Apple CarPlay, Backup Camera, Blind Spot Monitor, Fog Lights, Leather Seats, Panoramic Roof, Parking Sensors, Wireless Charging"
72,DR0XN6UU6FCVN3082,Skoda,Slavia,2015,LE,Convertible,Petrol,Manual,120224,2727.0,fair,"St. Marie, WA, Australia",Private Party,"Adaptive Cruise Control, Alloy Wheels, Android Auto, Blind Spot Monitor, Bluetooth, Heated Seats, Parking Sensors"
73,6F1W0NH30BG5R6882,Tata,Altroz,2013,Trend,Sedan,Hybrid,Manual,164430,1301.0,good,"East Rachelville, SA, Australia",Dealer,"Alloy Wheels, Blind Spot Monitor, Keyless Entry, Leather Seats, Navigation, Sunroof, Ventilated Seats, Wireless Charging"
74,W8GH040E21S5U5021,Tesla,Model Y,2013,XSE,Sedan,Petrol,Manual,106665,2485.0,fair,"Andreafurt, MB, Canada",Dealer,"Android Auto, Apple CarPlay, Bluetooth, Fog Lights, Heated Seats, Lane Keep Assist, Push Button Start"
75,H0M28HZW1C28Y3055,Ford,Escape,2022,,Hatchback,Petrol,Automatic,24401,12286.0,excellent,"da Mata, PA, Brazil",Dealer,"Adaptive Cruise Control, Heated Seats, Leather Seats, Navigation, Panoramic Roof, Parking Sensors"
76,D2NR072L7G2914064,Maruti,Dzire,2013,Titanium,Van,CNG,CVT,176447,1241.0,good,"Gonçalves, SP, Brazil",Certified Pre-Owned,"Alloy Wheels, Android Auto, Backup Camera, Blind Spot Monitor, LED Headlights, Panoramic Roof, Parking Sensors, Push Button Start, Ventilated Seats"
77,TGG71ZXY6N8PG8956,Volkswagen,Taigun,2023,LE,SUV,Petrol,CVT,26824,26173.0,excellent,"Bethanchester, NIR, UK",Private Party,"Adaptive Cruise Control, Alloy Wheels, Apple CarPlay, Backup Camera, Parking Sensors, Ventilated Seats, Wireless Charging"
78,BXKJ41A61B3TL1137,Tesla,Model 3,2016,Long Range,Sedan,Plug-in Hybrid,Automatic,54053,6267.0,fair,"Kevinfort, SA, Australia",Dealer,"Backup Camera, Bluetooth, Keyless Entry, Lane Keep Assist, Leather Seats, Navigation, Parking Sensors, Wireless Charging"
79,JFTDUNBF3MS3Y4318,Ford,Escape,2019,Trend,Hatchback,Petrol,Automatic,45995,6710.0,good,"Mendonça, SP, Brazil",Dealer,"Android Auto, Backup Camera, Fog Lights, Lane Keep Assist, Panoramic Roof, Push Button Start, Ventilated Seats, Wireless Charging"
80,1RBA3U9A6C2M22873,Audi,A6,2015,Premium,MPV,Petrol,Automatic,253052,3663.0,excellent,"利島村, Kanagawa, Japan",Dealer,"Adaptive Cruise Control, Fog Lights, Heated Seats, LED Headlights, Leather Seats, Push Button Start, Ventilated Seats"
81,AB8AZAB03S8C74826,Tata,Nexon,2023,LTZ,Convertible,Diesel,Manual,24161,18941.0,good,"Durgapur, KA, India",Dealer,"Heated Seats, Keyless Entry, LED Headlights, Lane Keep Assist, Navigation, Ventilated Seats"
82,KFL51KML7MZ497964,Audi,Q5,2025,Base,MPV,CNG,DCT,0,46724.0,good,"BrunetVille, OCC, France",Private Party,"Alloy Wheels, Apple CarPlay, Blind Spot Monitor, Heated Seats, LED Headlights, Lane Keep Assist, Navigation, Wireless Charging"
83,MAH9BM4P0XSZ84840,Tesla,Model 3,2018,LE,Hatchback,Hybrid,Manual,94439,6797.0,excellent,"Mcconnellburgh, ON, Canada",Dealer,"Alloy Wheels, Apple CarPlay, Keyless Entry, LED Headlights, Lane Keep Assist, Panoramic Roof, Wireless Charging"
84,AYHSBJF2X59RU5667,Ford,Explorer,2019,,MPV,Hybrid,Manual,162108,5906.0,good,"Gudivada, MH, India",Dealer,"Alloy Wheels, Backup Camera, Keyless Entry, Lane Keep Assist, Leather Seats, Navigation, Panoramic Roof, Sunroof, Ventilated Seats"
85,C8RV3R9M64PRJ6585,Tata,Punch,2025,Sport,Hatchback,Petrol,Manual,0,13293.0,good,"Martins, CVL, France",Private Party,"Apple CarPlay, Bluetooth, Fog Lights, Heated Seats, Sunroof, Wireless Charging"
86,XTU0Y98Z4FMTS1490,BMW,X5,2014,LX,Van,Electric,Automatic,80939,4461.0,fair,"West Gina, NT, Australia",Private Party,"Alloy Wheels, Apple CarPlay, Backup Camera, Fog Lights, Ventilated Seats"
87,RE89WYL36M1YN4278,Tata,Nexon,2013,LE,Van,Diesel,Automatic,135438,1316.0,,"New Robert, QLD, Australia",Private Party,
88,B4C3EJXL81ZRJ7707,Mercedes-Benz,E-Class,2012,Long Range,Convertible,Petrol,Automatic,111946,4118.0,good,"East James, CA, US",Private Party,"Apple CarPlay, Bluetooth, Keyless Entry, Lane Keep Assist, Panoramic Roof, Wireless Charging"
89,7T15EKAP7X1YC9009,Chevrolet,Silverado,2007,SE,Convertible,Petrol,Manual,418428,1165.0,fair,"Dessau, SH, Germany",Private Party,"Android Auto, Heated Seats, Leather Seats, Panoramic Roof, Ventilated Seats"
90,5DKRA1GZ0ZV9L4744,Mercedes-Benz,E-Class,2025,LX,Pickup,Hybrid,CVT,0,58145.0,fair,"da Mata, PR, Brazil",Dealer,"Adaptive Cruise Control, Alloy Wheels, Fog Lights, Heated Seats, Keyless Entry, Lane Keep Assist, Navigation, Panoramic Roof, Parking Sensors"
91,59JCN4UW4Z5FC5329,Audi,Q5,2015,Performance,SUV,Petrol,Automatic,104865,7381.0,new,"Bloemfontein, WC, South Africa",Dealer,"Alloy Wheels, Android Auto, Fog Lights, Heated Seats, Keyless Entry, Navigation, Parking Sensors, Ventilated Seats"
92,XRAF23C97ZDUT9374,Toyota,Tacoma,2017,Sport,Hatchback,Hybrid,Automatic,119157,2753.0,excellent,"Barbosa do Sul, RS, Brazil",Certified Pre-Owned,"Apple CarPlay, Blind Spot Monitor, Keyless Entry, LED Headlights, Lane Keep Assist, Ventilated Seats"
93,GV49ZT0D4DEKS0870,Maruti,Ertiga,2017,,Van,Diesel,Manual,133515,3833.0,good,"港区, Osaka, Japan",Dealer,"Navigation, Push Button Start, Sunroof, Wireless Charging"
94,91P55JWR2LMWX7193,Mercedes-Benz,E-Class,2022,XSE,MPV,Petrol,Automatic,76181,21340.0,,"Vohenstrauß, RP, Germany",Private Party,"Backup Camera, Blind Spot Monitor, Keyless Entry, Leather Seats, Navigation, Panoramic Roof, Push Button Start, Ventilated Seats, Wireless Charging"
95,G0UU7HZB0TTW13677,Volkswagen,Jetta,2024,,SUV,Petrol,Manual,21763,16389.0,salvage,"香取郡多古町, Okinawa, Japan",Dealer,"Alloy Wheels, Backup Camera, Heated Seats, Keyless Entry, Lane Keep Assist, Leather Seats, Navigation, Push Button Start, Sunroof"
96,6SW9VMTP9P63J9839,Skoda,Kushaq,2020,Titanium,Hatchback,CNG,Automatic,73820,7645.0,excellent,"横浜市旭区, Kyoto, Japan",Private Party,"Backup Camera, Bluetooth, Heated Seats, Keyless Entry, Lane Keep Assist, Leather Seats, Panoramic Roof, Parking Sensors"
97,2800PWN05M9ZM3827,Mahindra,Scorpio,2015,EX,Convertible,Petrol,Automatic,84885,3569.0,excellent,"North Rosieberg, SCT, UK",Private Party,"Adaptive Cruise Control, Alloy Wheels, Backup Camera, Heated Seats, Leather Seats, Sunroof, Ventilated Seats"
98,EHK7122485LSM0295,Mercedes-Benz,GLA,2017,Performance,Hatchback,Petrol,CVT,107550,4382.0,good,"East Williamstad, NT, Australia",Dealer,"Adaptive Cruise Control, Bluetooth, Heated Seats, Navigation, Panoramic Roof, Ventilated Seats"
99,XK368FXW7VJTN9264,Honda,CR-V,2018,LT,Convertible,Hybrid,Manual,104491,9040.0,good,"八街市, Aichi, Japan",Private Party,"Apple CarPlay, Heated Seats, Lane Keep Assist, Leather Seats, Panoramic Roof, Push Button Start, Sunroof, Wireless Charging"
100,A1TG7J3213HL75882,Tesla,Model Y,2018,LE,SUV,Petrol,Automatic,111021,14044.0,like new,"君津市, Fukuoka, Japan",Dealer,"Fog Lights, Lane Keep Assist, Navigation, Push Button Start, Ventilated Seats, Wireless Charging"
101,ZRVWYAWU5XJEC3290,Tesla,Model Y,2011,Platinum,Coupe,Petrol,Automatic,207073,2514.0,excellent,"Clarkburgh, NY, US",Dealer,
102,N9GGHS0P3S38B6677,Volkswagen,Taigun,2020,Titanium,MPV,Petrol,Manual,36932,11355.0,good,"Pretoria, GP, South Africa",Private Party,"Alloy Wheels, Fog Lights, Keyless Entry, Lane Keep Assist, Push Button Start"
103,XHCVZSRY25X547351,Honda,Accord,2018,LX,Convertible,Petrol,Automatic,174220,5125.0,,"Dupont, BFC, France",Dealer,"Android Auto, Backup Camera, LED Headlights, Navigation, Parking Sensors, Wireless Charging"
104,2W8MC3WV89V9T3305,Tesla,Model Y,2019,Base,Coupe,CNG,Automatic,59026,12686.0,fair,"Almeida do Sul, PR, Brazil",Private Party,"Adaptive Cruise Control, Alloy Wheels, Android Auto, Backup Camera, LED Headlights, Leather Seats, Push Button Start, Sunroof"
105,BDRJNK2B2BH0E0796,Kia,Seltos,2017,Base,Convertible,Petrol,Automatic,96941,6015.0,good,"da Mata das Pedras, PE, Brazil",Dealer,"Alloy Wheels, Navigation, Panoramic Roof, Push Button Start, Wireless Charging"
106,7S361ZL8415UF3551,Audi,A4,2012,LE,SUV,Diesel,Automatic,193189,2593.0,good,"Cameronville, QLD, Australia",Private Party,"Heated Seats, LED Headlights, Lane Keep Assist, Panoramic Roof, Wireless Charging"
107,KRSHVJLP417ZE8090,Hyundai,Tucson,2020,Sport,Coupe,Petrol,DCT,115848,9143.0,good,"国立市, Okinawa, Japan",Dealer,"Adaptive Cruise Control, Fog Lights, Sunroof, Ventilated Seats"
